石景山|城子|绿岛家园复式房子，大面积，南北通透。|绿岛家园| | 5室2厅 | 229.5平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |城子|500万|单价21787元/平米
石景山|城子|阁外山水 永定楼畔 环境好 满五唯一 大户型三居室 |阁外山水| | 3室2厅 | 140平米 | 东 西 | 简装|中楼层(共6层)  2003年建板楼  -  |城子|350万|单价25000元/平米
石景山|城子|城子大街132号院毛坯大两居 南北通透|城子大街132号院| | 2室1厅 | 106.8平米 | 南 北 | 毛坯|高楼层(共6层)  2002年建板楼  -  |城子|260万|单价24345元/平米
石景山|城子|房子精装修 带露台 满五唯一 视线好|阁外山水| | 2室2厅 | 100.56平米 | 南 北 | 精装|高楼层(共7层)  2003年建板楼  -  |城子|230万|单价22872元/平米
石景山|城子|阁外山水两居室，东西通透，精装修。|阁外山水| | 2室1厅 | 99.53平米 | 东 西 | 精装|低楼层(共12层)  2003年建板楼  -  |城子|227万|单价22808元/平米
石景山|城子|市中心精装两居室，全明格局，居家首选|向东楼小区| | 2室1厅 | 59.71平米 | 南 北 | 精装|中楼层(共6层)  1982年建板楼  -  |城子|149万|单价24954元/平米
石景山|城子|阁外山水 满五唯一 6+7复式 有阁楼|阁外山水| | 2室1厅 | 93.14平米 | 东 西 | 其他|中楼层(共12层)  2003年建板楼  -  |城子|192万|单价20615元/平米
石景山|城子|龙泉花园南北通透三面采光交通便利环境优雅|龙泉花园| | 2室1厅 | 64.21平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |城子|155万|单价24140元/平米
石景山|城子|向阳楼 2室1厅 120万|向阳楼| | 2室1厅 | 46.29平米 | 东 西 | 简装|高楼层(共5层)  1982年建板楼  -  |城子|120万|单价25924元/平米
石景山|城子|三家店老宿舍 满五唯一 送地下室，送装修|三家店老宿舍17号院| | 2室1厅 | 88平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |城子|183万|单价20796元/平米
石景山|城子|此房东西通透格局，视野开阔，一梯两户|阁外山水| | 2室1厅 | 101平米 | 东 西 | 精装|中楼层(共12层)  2001年建板楼  -  |城子|240万|单价23763元/平米
石景山|城子|格外山水精装修，经典户型，居住舒适|阁外山水| | 2室1厅 | 97.84平米 | 南 西 | 精装|中楼层(共6层)  2003年建板楼  -  |城子|300万|单价30663元/平米
石景山|城子|向东楼小区 2室1厅 150万|向东楼小区| | 2室1厅 | 57.12平米 | 南 北 | 简装|中楼层(共5层)  1982年建板楼  -  |城子|150万|单价26261元/平米
