丰台|北京南站|南二环西南北精装三居室 双地铁4+14号线 交通方便|东滨河路2号院| | 3室1厅 | 107平米 | 南 北 | 精装|高楼层(共6层)  1997年建板楼  -  |北京南站|450万|单价42057元/平米
丰台|北京南站|右安门外北京南站，开阳里中间楼层两居室，有电梯|开阳里三区| | 2室1厅 | 70平米 | 东北 | 简装|中楼层(共18层)  1999年建塔楼  -  |北京南站|330万|单价47143元/平米
丰台|北京南站|翠林小区 南北通透黄金楼层小两居 刚需首选|翠林一里| | 2室1厅 | 56.36平米 | 南 北 | 简装|中楼层(共6层)  1996年建板楼  -  |北京南站|268万|单价47552元/平米
丰台|北京南站|北京南站双地铁交汇上下复式大三居室诚心出售|开阳里八区| | 3室2厅 | 154.23平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北京南站|600万|单价38903元/平米
丰台|北京南站|开阳里小区，紧邻地铁14号线，总价低，业主诚心出售。|开阳里六区| | 1室0厅 | 26.86平米 | 北 | 简装|高楼层(共24层)  2002年建塔楼  -  |北京南站|165万|单价61430元/平米
丰台|北京南站|北京南站很大复式哦，四居另带两个大露台|开阳里八区| | 4室2厅 | 206.04平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北京南站|824万|单价39993元/平米
丰台|北京南站|北京南站旁不限购2012年新楼盘诚心出售的LOFT|嘉特美公馆| | 1室1厅 | 48平米 | 东南 | 精装|高楼层(共15层)  2011年建塔楼  -  |北京南站|245万|单价51042元/平米
丰台|北京南站|二环边通透复式，紧邻双地铁业主诚意出售|幸福路6号院| | 3室2厅 | 162.18平米 | 东 西 | 简装|高楼层(共6层)  2005年建板楼  -  |北京南站|580万|单价35763元/平米
丰台|北京南站|北京南站边 东西向复式业主诚售 |幸福路6号院| | 3室2厅 | 164平米 | 东 西 | 简装|高楼层(共6层)  2005年建板楼  -  |北京南站|580万|单价35366元/平米
丰台|北京南站|二环边电梯正规三居室，紧邻双地铁免税房|开阳里三区| | 3室2厅 | 115.58平米 | 东 南 | 精装|高楼层(共18层)  1999年建塔楼  -  |北京南站|460万|单价39800元/平米
丰台|北京南站|迦南大厦 南二环 右安门外大街边 正南向大三居 诚售|迦南大厦| | 3室1厅 | 181平米 | 东南 | 其他|高楼层(共26层)  2000年建塔楼  -  |北京南站|670万|单价37017元/平米
丰台|北京南站|右安门 东南大三居室 满五年唯一 高楼层超棒视野|迦南大厦| | 3室2厅 | 208平米 | 东 南 | 精装|中楼层(共26层)  2000年建塔楼  -  |北京南站|1050万|单价50481元/平米
丰台|北京南站|右外大街 满五年唯一两居房源诚意出售|右外大街4号院| | 2室1厅 | 83.02平米 | 西北 北 | 精装|中楼层(共22层)  2000年建塔楼  -  |北京南站|480万|单价57818元/平米
丰台|北京南站|地铁4号线北京南站北出口 1000米左右 嘉特美公馆|嘉特美公馆| | 1室0厅 | 41平米 | 南 北 | 精装|低楼层(共12层)  2012年建板塔结合  -  |北京南站|258万|单价62927元/平米
丰台|北京南站|世纪金色嘉园小户型 低首付低总价房源|世纪金色嘉园| | 1室0厅 | 26.03平米 | 西 | 简装|中楼层(共30层)  2002年建塔楼  -  |北京南站|156万|单价59931元/平米
丰台|北京南站|右安门外，开阳里一区，朝南一居室，黄金楼层|开阳里一区| | 1室1厅 | 39.4平米 | 南 | 精装|低楼层(共6层)  1989年建板楼  -  |北京南站|220万|单价55838元/平米
