西城|崇文门|崇文门 西打磨厂街 满五唯一 电梯直达 复式四居 ！|西打磨厂街| | 4室3厅 | 189.47平米 | 南 西 | 简装|高楼层(共6层)  1970年建板楼  -  |崇文门|1150万|单价60696元/平米
西城|崇文门|南北通透，紧邻崇文小学，满五唯一，前后花园随时签约|新景家园西区| | 3室1厅 | 91.21平米 | 南 北 | 简装|中楼层(共16层)  2004年建板塔结合  -  |崇文门|780万|单价85517元/平米
西城|崇文门|新景家园南北两居室 满五唯一 前后不临街|新景家园东区| | 2室1厅 | 83.4平米 | 南 北 | 精装|中楼层(共16层)  2005年建板塔结合  -  |崇文门|739万|单价88610元/平米
西城|崇文门|新景家园 南北通透三居 是学区房 业主诚心出售|新景家园西区| | 3室1厅 | 91.06平米 | 南 北 | 精装|低楼层(共16层)  2004年建板塔结合  -  |崇文门|760万|单价83462元/平米
西城|崇文门|商品房，东南向，客厅主卧朝南，全凸户型，满五唯一|新景家园东区| | 2室1厅 | 76.74平米 | 东南 | 精装|低楼层(共14层)  2006年建板塔结合  -  |崇文门|750万|单价97733元/平米
西城|崇文门|东城区 新怡家园 南北通透三居室 满五唯一 看房方便|新怡家园| | 3室2厅 | 163.77平米 | 南 北 | 精装|中楼层(共10层)  2004年建板楼  -  |崇文门|1600万|单价97698元/平米
西城|崇文门|新裕家园 全南一居 满五唯一  培新学区|新裕家园| | 1室2厅 | 76.76平米 | 南 | 精装|中楼层(共17层)  2004年建板塔结合  -  |崇文门|680万|单价88588元/平米
西城|崇文门|新景商品南北两居 满五唯一 高层总价低 对千米花园|新景家园东区| | 2室1厅 | 75.69平米 | 南 北 | 其他|中楼层(共14层)  2006年建板塔结合  -  |崇文门|735万|单价97107元/平米
西城|崇文门|东南两居，无挡，社科院央产房，满五年唯一，电梯直达|前门东大街| | 2室1厅 | 56.35平米 | 东 南 | 简装|低楼层(共16层)  1979年建塔楼  -  |崇文门|390万|单价69211元/平米
西城|崇文门|天坛东门 低楼层南北通透两居 还有自建 满五唯一|营房西街| | 2室1厅 | 57.62平米 | 南 北 | 简装|低楼层(共6层)  1990年建板楼  -  |崇文门|400万|单价69421元/平米
西城|崇文门|国瑞城高层在售，客厅、双主卧朝南，南北通透，送露台|国瑞城中区| | 3室2厅 | 179.16平米 | 南 北 | 精装|高楼层(共15层)  2006年建板楼  -  |崇文门|1620万|单价90422元/平米
西城|崇文门|法华南里 南北通透稀缺三居 对花园体育馆学区房|法华南里| | 3室2厅 | 105平米 | 南 北 | 简装|高楼层(共6层)  1993年建板楼  -  |崇文门|682万|单价64953元/平米
西城|崇文门|新怡家园 高楼层视野好 南北通透复式 |新怡家园| | 3室1厅 | 179.88平米 | 南 北 | 精装|高楼层(共13层)  2006年建板楼  -  |崇文门|1800万|单价100067元/平米
西城|崇文门|新景家园 南北通透三居 无遮挡 满五唯一 商品房 |新景家园东区| | 3室1厅 | 91.29平米 | 南 北 | 简装|低楼层(共17层)  2002年建板塔结合  -  |崇文门|770万|单价84347元/平米
西城|崇文门|国瑞城中区 西南两居室 满五唯一 不临街 看房方便|国瑞城中区| | 2室1厅 | 69.69平米 | 西南 | 精装|中楼层(共16层)  2003年建板塔结合  -  |崇文门|575万|单价82509元/平米
西城|崇文门|朝南的正规两居室 两个卫生间 视野好 采光棒|太华公寓| | 2室1厅 | 119.9平米 | 南 | 精装|低楼层(共17层)  1999年建塔楼  -  |崇文门|730万|单价60885元/平米
西城|崇文门|新景家园东北商品大两居，采光无遮挡，诚意出售|新景家园西区| | 2室1厅 | 116.52平米 | 东 北 | 其他|中楼层(共12层)  2001年建板塔结合  -  |崇文门|720万|单价61792元/平米
西城|崇文门|新景家园商品小三居 改善首选 精装修|新景家园东区| | 3室1厅 | 91.6平米 | 东 西 | 精装|低楼层(共18层)  2006年建板塔结合  -  |崇文门|820万|单价89520元/平米
西城|崇文门|新景家园 商品3居 满五唯一 紧邻地铁 人车分流 带车位|新景家园西区| | 3室1厅 | 118.37平米 | 西 | 精装|低楼层(共12层)  2001年建板塔结合  -  |崇文门|930万|单价78568元/平米
西城|崇文门|南北通透 商品两居 满五唯一 可上培新小学|新裕家园| | 2室2厅 | 102.54平米 | 南 北 | 精装|高楼层(共17层)  2004年建板塔结合  -  |崇文门|870万|单价84845元/平米
西城|崇文门|崇文门东大街 正规一居室 回民小学学区房|崇文门东大街| | 1室1厅 | 40平米 | 南 | 精装|中楼层(共14层)  1980年建板楼  -  |崇文门|340万|单价85000元/平米
西城|崇文门|太华公寓 70年产权商品房 近地铁 高层方正两居 有钥匙|太华公寓| | 2室2厅 | 151平米 | 北 | 简装|高楼层(共18层)  1999年建塔楼  -  |崇文门|680万|单价45034元/平米
西城|崇文门|兴隆都市馨园  满五年唯一 税费少 随时签约|兴隆都市馨园| | 1室0厅 | 38.73平米 | 北 | 精装|低楼层(共7层)  2003年建塔楼  -  |崇文门|305万|单价78751元/平米
西城|崇文门|法华南里南北三居室  南北通透  诚售|法华南里| | 3室1厅 | 114平米 | 南 北 | 简装|低楼层(共6层)  1996年建板楼  -  |崇文门|800万|单价70176元/平米
西城|崇文门|崇文区新怡家园南北精装满五年唯一诚售|新怡家园| | 2室2厅 | 123.21平米 | 南 北 | 精装|高楼层(共15层)  2006年建板楼  -  |崇文门|1250万|单价101453元/平米
西城|崇文门|崇文商品两居室，高楼层不临街，没有遮挡|新景家园东区| | 2室1厅 | 83.55平米 | 南 北 | 精装|中楼层(共16层)  2005年建板塔结合  -  |崇文门|760万|单价90964元/平米
西城|崇文门|崇文门兴隆都市馨园精装平层三居  诚心出售 满五唯一|兴隆都市馨园| | 3室1厅 | 79.72平米 | 南 北 | 精装|高楼层(共6层)  2002年建板塔结合  -  |崇文门|680万|单价85299元/平米
西城|崇文门|新景家园 东西通透3居室 仅剩契税 崇文小学|新景家园西区| | 3室1厅 | 91.18平米 | 东 西 | 精装|高楼层(共16层)  2004年建板塔结合  -  |崇文门|750万|单价82255元/平米
西城|崇文门|兴隆都市馨园 东西通透 大复式|兴隆都市馨园| | 3室2厅 | 103.84平米 | 东 西 | 精装|高楼层(共6层)  2003年建板塔结合  -  |崇文门|730万|单价70301元/平米
西城|崇文门|兴隆都市馨园 精装南北二居室 看房方便|兴隆都市馨园| | 2室1厅 | 73.81平米 | 南 北 | 精装|高楼层(共6层)  2003年建板塔结合  -  |崇文门|590万|单价79935元/平米
西城|崇文门|新景家园商品房朝南一居室  满五年唯一税费少崇文学区|新景家园东区| | 1室1厅 | 59.5平米 | 南 | 精装|低楼层(共12层)  2004年建板塔结合  -  |崇文门|530万|单价89076元/平米
西城|崇文门|商品房 精装 两居室改三居  税费少|太华公寓| | 2室1厅 | 153.41平米 | 西南 | 精装|中楼层(共17层)  1999年建塔楼  -  |崇文门|841万|单价54821元/平米
西城|崇文门|国瑞城 东向两居 精装修 满五唯一|国瑞城中区| | 2室1厅 | 74.54平米 | 东 | 精装|低楼层(共16层)  2006年建板塔结合  -  |崇文门|595万|单价79823元/平米
西城|崇文门|崇文新景商品南北两居室 满5年唯一 学区名额未占用|新景家园东区| | 2室1厅 | 81.44平米 | 南 北 | 精装|低楼层(共18层)  2006年建板塔结合  -  |崇文门|760万|单价93321元/平米
西城|崇文门|底价诚售 闹中取静大三居 改善首选|东后河沿| | 3室2厅 | 192.83平米 | 东 西 | 简装|中楼层(共16层)  1999年建板塔结合  -  |崇文门|980万|单价50822元/平米
